"Timestamp","Student's ID","Gender","Bac II's Overall Grade","Bac II Mathematics Grade","Department","Do you have difficulties engaging in your online classes during this Covid-19 outbreak?","What kind of difficulties do you commonly have during this period?","I gather with friends to study mathematics as a group.","I seek advice or explanation from my friends, seniors or those who know more about mathematics problems outside formal class hours.","I try to start my homework immediately after math class.","I have a specific time to study mathematics.","I am careful to keep up-to-date with math homework.","I study math eight to ten hours a week besides classroom hours.","I attend math tutor sessions regularly.","I read my math textbook before coming to class.","If I have trouble understanding the text, I find an alternate text or books.","I take notes during my mathematics classes.","I am careful to copy all the steps of math problems in my notes.","I ask questions when I am confused.","I go to the instructor or tutor center when I am confused.","I try to determine exactly when I got confused and exactly what confused me.","I review my notes and text before beginning the homework.","I work problems until I understand them, not just until I get the answers listed in the back of the book.","I develop memory techniques to remember math concepts.","Sought advice from academic staff including lecturers and/or consulting adviser (via Telegram or during online classes...)","Made a class or online presentation on your assigned work.","Worked hard to master difficult contents or lessons in your classes.","Used library resources on campus or online to do your work or expand your horizons.","Worked on an assignment (TD/TP) that required integrating ideas or information from various sources.","Worked with other students on teamwork/projects during class.","Worked with other students outside class to prepare assignments (either during online classes or personal hours).","Used an online learning system to discuss or complete an assignment.","Discussed your grades or assignments with lecturers.","Talked about your career plans or choosing department or majors with friends, seniors, lecturers or advisors.","Discussed ideas from your readings or classes with lecturers outside class.","Received prompt written or oral feedback from lecturers on your academic performance.","Worked harder than you thought you could to meet your lecturers’ standards or expectations.","Discussed ideas from your readings or classes with others outside class (e.g. friends, seniors, lecturers etc.)","I always prepare myself well for my math classes, tests and quizzes.","I often motivate myself to get a good score in math.","I always pay full attention during my math classes.","Mathematics is important for my study and future career.","I feel confident in my abilities to solve mathematics problems.","I can understand my math teacher’s explanation easily.","I spend lots of time to practice mathematics or work on assignments.","I would prefer to write a math assignment than write an essay.","I believe studying of math helps me with problem solving in other subjects.","I like to solve new problems in mathematics.","I am happier in a math class than in any other classes.","It would not bother me at all to take more math courses.","I have usually been at ease during math test.","I have usually been at ease during math course.","I often feel tense and bored in my mathematics class.","I always feel nervous in quizzes or exams of math.","I don’t like working on the homework given by my mathematics teacher.","I am not eager to participate in discussions that involve mathematics.","I get a sinking feeling when I think of trying hard math problems.","My mind goes blank and I am unable to think clearly when working mathematics.","Mathematics makes me feel uneasy and confused.","I feel more nervous and anxious than usual.","I feel afraid for no reason at all.","I get upset easily or feel panicky.","I feel like I’m falling apart and going to pieces.","I feel that everything is all right and nothing bad will happen.","My arms and legs shake and tremble.","I am bothered by headaches neck and back pain.","I feel weak and get tired easily."," I feel calm and can sit still easily.","I can feel my heart beating fast.","I am bothered by dizzy spells.","I have fainting spells or feel like it.","I can breathe in and out easily.","I get numbness and tingling in my fingers and toes.","I am bothered by stomach aches or indigestion.","I have to empty my bladder often.","My hands are usually dry and warm.","My face gets hot and blushes.","I fall asleep easily and get a good night’s rest.","I have nightmares.","Semester 1: Calculus II","Semester 1: Probability and Statistics","Semester 1: Differential Equation","Annual Score"
"2021/08/15 8:47:33 AM GMT+7","e20190211","Male","B","A","GEE","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Distraction (home environment, surrounding, people ...)","Rarely","Rarely","Sometimes","Always","Always","Always","Always","Always","Always","Always","Always","Always","Rarely","Always","Always","Always","Always","Often","Very Often","Very Often","Very Often","Very Often","Sometimes","Often","Very Often","Sometimes","Often","Never","Sometimes","Very Often","Very Often","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree","Some of the time","Some of the time","A little of the time","Some of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","A little of the time","A little of the time","Most of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","A little of the time","94.65","100","94","84.97"
"2021/08/15 8:51:52 AM GMT+7","e20190459","Male","A","A","GCI","No","Self motivation","Sometimes","Sometimes","Always","Always","Always","Always","Always","Sometimes","Sometimes","Always","Always","Always","Sometimes","Always","Always","Always","Always","Often","Very Often","Very Often","Sometimes","Very Often","Very Often","Very Often","Very Often","Often","Often","Often","Sometimes","Very Often","Often","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","A little of the time","A little of the time","A little of the time","A little of the time","Some of the time","A little of the time","","","Good part of the time","","","","","","","","","","","","92.8","80.5","97","80.8"
"2021/08/15 9:15:18 AM GMT+7","e20190220","Male","D","C","GEE","Yes","Low internet speed (cannot hear/see well, ...);Self motivation","Sometimes","Sometimes","Always","Sometimes","Sometimes","Always","Always","Sometimes","Always","Sometimes","Sometimes","Always","Always","Sometimes","Sometimes","Always","Sometimes","Often","Often","Sometimes","Sometimes","Often","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","A little of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","A little of the time","Most of the time","Some of the time","Some of the time","Some of the time","Good part of the time","A little of the time","Good part of the time","Some of the time","70.76","60.6","61.6","69.42"
"2021/08/15 9:19:14 AM GMT+7","e20190807 ","Male","C","B","GEE","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive;Devices use in online learning (inadequate);Self motivation","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Often","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Often","Sometimes","Often","Often","Often","Sometimes","Sometimes","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Good part of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Good part of the time","Some of the time","Some of the time","Some of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","68.65","62.94","61.6","68.3"
"2021/08/15 9:25:08 AM GMT+7","e20190597","Male","A","A","GCI","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...);Self motivation","Never Even Thought of","Sometimes","Rarely","Always","Always","Always","Always","Rarely","Always","Almost Never","Sometimes","Sometimes","Never Even Thought of","Always","Always","Always","Always","Often","Very Often","Sometimes","Sometimes","Often","Very Often","Very Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Very Often","Very Often","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Disagree","Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Disagree","Agree","A little of the time","Some of the time","Most of the time","Some of the time","Good part of the time","A little of the time","Most of the time","Most of the time","A little of the time","A little of the time","A little of the time","","Most of the time","","Good part of the time","","Good part of the time","","Good part of the time","A little of the time","90","90+","90+","90+"
"2021/08/15 9:31:38 AM GMT+7","e20190724","Female","D","C","GEE","Yes","Self motivation","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Never Even Thought of","Sometimes","Rarely","Almost Never","Always","Always","Almost Never","Almost Never","Sometimes","Always","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Often","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Often","Never","Often","Agree","Neutral","Disagree","Strongly Agree","Disagree","Neutral","Agree","Disagree","Strongly Agree","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Strongly Agree","Disagree","Neutral","Agree","Agree","Neutral","Some of the time","Most of the time","Most of the time","Good part of the time","A little of the time","Some of the time","Most of the time","Good part of the time","A little of the time","Most of the time","Most of the time","Some of the time","Some of the time","A little of the time","Good part of the time","Some of the time","Most of the time","Most of the time","A little of the time","Most of the time","77.55","30","40","70.63"
"2021/08/15 9:33:50 AM GMT+7","e20190501","Male","B","C","GCI","Yes","Low internet speed (cannot hear/see well, ...);Distraction (home environment, surrounding, people ...)","Rarely","Sometimes","Sometimes","Always","Always","Sometimes","Always","Sometimes","Sometimes","Always","Always","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Sometimes","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","A little of the time","","","","A little of the time","","A little of the time","","","","","","","","","","","","Some of the time","","89.75","62.25","68.60","74.37"
"2021/08/15 9:35:02 AM GMT+7","e20190218","Female","C","C","GEE","Yes","Low internet speed (cannot hear/see well, ...);Online class is not interactive","Sometimes","Sometimes","Sometimes","Always","Always","Never Even Thought of","Always","Sometimes","Always","Always","Always","Always","Sometimes","Sometimes","Always","Always","Sometimes","Very Often","Never","Sometimes","Never","Very Often","Never","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Sometimes","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","A little of the time","A little of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","A little of the time","Some of the time","Some of the time","Some of the time","Difficult ","Difficult ","Not difficult ","C"
"2021/08/15 9:35:55 AM GMT+7","e20190541","Female","C","D","GEE","Yes","Adapt to online learning approach;Self motivation","Rarely","Sometimes","Sometimes","Always","Always","Sometimes","Always","Sometimes","Sometimes","Always","Always","Sometimes","Rarely","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Often","Sometimes","Very Often","Often","Often","Sometimes","Sometimes","Sometimes","Never","Often","Sometimes","Sometimes","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Good part of the time","Most of the time","Some of the time","Most of the time","Some of the time","Some of the time","Most of the time","Good part of the time","A little of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Some of the time","A little of the time","Some of the time","Some of the time","A little of the time","A little of the time","Some of the time","73.93","87.3","75.3","74.72"
"2021/08/15 9:40:23 AM GMT+7","e20191274","Male","C","A","GCI","No","Low internet speed (cannot hear/see well, ...);Online class is not interactive","Rarely","Sometimes","Sometimes","Always","Rarely","Sometimes","Always","Sometimes","Sometimes","Always","Sometimes","Always","Rarely","Sometimes","Sometimes","Always","Sometimes","Never","Never","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","A little of the time","Some of the time","Some of the time","Most of the time","Most of the time","Good part of the time","Some of the time","Some of the time","Good part of the time","Good part of the time","Some of the time","Good part of the time","Most of the time","A little of the time","A little of the time","A little of the time","Most of the time","Most of the time","Good part of the time","Some of the time","28","35","34","86"
